name,parent_code,mr_name,category_code,bus_stop_type,tag_line,mr_tag_line,description,mr_description,domain_name,logo,icon,image,status,latitude,longitude,pin_code,speciality,rules,social_media,meta_data,email,phone,user_id
Tarkarli Beach,Malvan,,beach,,Scuba diving hotspot,,Clear water beach famous for water sports,,,,,,1,16.0330000,73.4830000,416606,,,,,,,
Devbag Beach,Malvan,,beach,,River-sea confluence,,Scenic beach where river meets sea,,,,,,1,16.0160000,73.4870000,416606,,,,,,,
Chivla Beach,Malvan,,beach,,Calm beach,,Peaceful beach in town,,,,,,1,16.0550000,73.4700000,416606,,,,,,,
Sindhudurg Fort,Malvan,,fort,,Sea fort,,Historic fort built by Shivaji Maharaj,,,,,,1,16.0420000,73.4750000,416606,,,,,,,
Rock Garden,Malvan,,tourist_interest,,Sunset point,,Popular sunset viewpoint in Malvan,,,,,,1,16.0600000,73.4650000,416606,,,,,,,
Rameshwar Temple,Malvan,,temple,,Ancient Shiva temple,,Historic Shiva temple in Malvan,,,,,,1,16.0600000,73.4700000,416606,,,,,,,
Vetoba Temple,Malvan,,temple,,Local deity temple,,Well-known regional deity temple,,,,,,1,16.1000000,73.4500000,416606,,,,,,,
Malvani Homestay,Malvan,,accomodation,,Beach stay,,Comfortable homestay near Malvan beach,,www.malvanihomestay.com,,,,1,16.0500000,73.4800000,416606,,,,,,9764076076,
Green Arc Homestay,Malvan,,accomodation,,Modern stay,,Well-rated homestay in Malvan,,www.greenarc.co.in,,,,1,16.0520000,73.4680000,416606,,,,,,9892509422,
Chaitanya Restaurant,Malvan,,restaurant,,Seafood thali,,Famous for authentic Malvani cuisine,,,,,,1,16.0550000,73.4700000,416606,,,,,,,
Athithi Bamboo,Malvan,,restaurant,,Themed dining,,Bamboo-style themed restaurant in Malvan,,,,,,1,16.0200000,73.4800000,416606,,,,,,,
Kunkeshwar Beach,Devgad,,beach,,Temple beach,,Beach near the famous Kunkeshwar temple,,,,,,1,16.3750000,73.3900000,416612,,,,,,,
Mithmumbari Beach,Devgad,,beach,,Quiet beach,,Less crowded coastal area in Devgad,,,,,,1,16.4100000,73.3700000,416612,,,,,,,
Devgad Fort,Devgad,,fort,,Historic sea fort,,Sea-facing historic fort in Devgad,,,,,,1,16.3700000,73.3800000,416612,,,,,,,
Vijaydurg Fort,Devgad,,fort,,Massive sea fort,,One of the strongest sea forts on the Konkan coast,,,,,,1,16.5600000,73.3300000,416614,,,,,,,
Kunkeshwar Temple,Devgad,,temple,,Ancient Shiva temple,,Ancient seaside Shiva temple in Devgad,,,,,,1,16.3750000,73.3900000,416612,,,,,,,
Coco Shambhala,Devgad,,accomodation,,Luxury villa stay,,Premium villa stay with sea views in Devgad,,www.cocoshambhala.com,,,,1,16.4000000,73.3500000,416612,,,,,,9422000111,
Athang Stay,Devgad,,accomodation,,Coastal stay,,Modern homestay near the coast in Devgad,,www.athangstay.com,,,,1,16.3750000,73.3650000,416612,,,,,,9158881188,
